meeting_type,reference,date,location,issue_number,issue_date,html_link,issue_type
COP,19,2013-11-11," Warsaw, Poland",590,2013-11-19,https://enb.iisd.org/vol12/enb12590e.html,Issue
COP,19,2013-11-11," Warsaw, Poland",591,2013-11-20,https://enb.iisd.org/vol12/enb12591e.html,Issue
COP,19,2013-11-11," Warsaw, Poland",592,2013-11-21,https://enb.iisd.org/vol12/enb12592e.html,Issue
COP,19,2013-11-11," Warsaw, Poland",593,2013-11-22,https://enb.iisd.org/vol12/enb12593e.html,Issue
COP,19,2013-11-11," Warsaw, Poland",594,Summary,https://enb.iisd.org/vol12/enb12594e.html,Summary
ADP, 2-4 ,2014-03-10," Bonn, Germany",595,Summary,https://enb.iisd.org/vol12/enb12595e.html,Summary
IPCC,38,2014-03-10," Yokohama, Japan",596,Summary,https://enb.iisd.org/vol12/enb12596e.html,Summary
IPCC,39,2014-04-07," Berlin, Germany",597,Summary,https://enb.iisd.org/vol12/enb12597e.html,Summary
SB,40,2014-06-04," Bonn, Germany",598,Summary,https://enb.iisd.org/vol12/enb12598e.html,Summary
ADP, 2-6 ,2014-10-20," Bonn, Germany",599,2014-10-20,https://enb.iisd.org/vol12/enb12599e.html,First
ADP, 2-6 ,2014-10-20," Bonn, Germany",600,2014-10-21,https://enb.iisd.org/vol12/enb12600e.html,Issue
ADP, 2-6 ,2014-10-20," Bonn, Germany",601,2014-10-22,https://enb.iisd.org/vol12/enb12601e.html,Issue
ADP, 2-6 ,2014-10-20," Bonn, Germany",602,2014-10-23,https://enb.iisd.org/vol12/enb12602e.html,Issue
ADP, 2-6 ,2014-10-20," Bonn, Germany",603,2014-10-24,https://enb.iisd.org/vol12/enb125603e.html,Issue
ADP, 2-6 ,2014-10-20," Bonn, Germany",604,2014-10-25,https://enb.iisd.org/vol12/enb12604e.html,Issue
ADP, 2-6 ,2014-10-20," Bonn, Germany",605,Summary,https://enb.iisd.org/vol12/enb12605e.html,Summary
IPCC,40,2014-10-27," Copenhagen, Denmark",606,2014-10-27,https://enb.iisd.org/vol12/enb12606e.html,First
IPCC,40,2014-10-27," Copenhagen, Denmark",607,Summary,https://enb.iisd.org/vol12/enb12607e.html,Summary
COP,20,2014-12-01," Lima, Peru",608,2014-12-01,https://enb.iisd.org/vol12/enb12608e.html,First
COP,20,2014-12-01," Lima, Peru",609,2014-12-02,https://enb.iisd.org/vol12/enb12609e.html,Issue
COP,20,2014-12-01," Lima, Peru",610,2014-12-03,https://enb.iisd.org/vol12/enb12610e.html,Issue
COP,20,2014-12-01," Lima, Peru",611,2014-12-04,https://enb.iisd.org/vol12/enb12611e.html,Issue
COP,20,2014-12-01," Lima, Peru",612,2014-12-05,https://enb.iisd.org/vol12/enb12612e.html,Issue
COP,20,2014-12-01," Lima, Peru",613,2014-12-06,https://enb.iisd.org/vol12/enb12613e.html,Issue
COP,20,2014-12-01," Lima, Peru",614,2014-12-08,https://enb.iisd.org/vol12/enb12614e.html,Issue
COP,20,2014-12-01," Lima, Peru",615,2014-12-09,https://enb.iisd.org/vol12/enb12615e.html,Issue
COP,20,2014-12-01," Lima, Peru",616,2014-12-10,https://enb.iisd.org/vol12/enb12616e.html,Issue
COP,20,2014-12-01," Lima, Peru",617,2014-12-11,https://enb.iisd.org/vol12/enb12617e.html,Issue
COP,20,2014-12-01," Lima, Peru",618,2014-12-12,https://enb.iisd.org/vol12/enb12618e.html,Issue
COP,20,2014-12-01," Lima, Peru",619,Summary,https://enb.iisd.org/vol12/enb12619e.html,Summary
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",620,2015-02-08,https://enb.iisd.org/vol12/enb12620e.html,First
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",621,2015-02-09,https://enb.iisd.org/vol12/enb12621e.html,Issue
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",622,2015-02-10,https://enb.iisd.org/vol12/enb12622e.html,Issue
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",623,2015-02-11,https://enb.iisd.org/vol12/enb12623e.html,Issue
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",624,2015-02-12,https://enb.iisd.org/vol12/enb12624e.html,Issue
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",625,2015-02-13,https://enb.iisd.org/vol12/enb12625e.html,Issue
ADP, 2-8 ,2015-02-08," Geneva, Switzerland",626,Summary,https://enb.iisd.org/vol12/enb12626e.html,Summary
IPCC,41,2015-02-24," UNEP HQ, Nairobi, Kenya",627,Summary,https://enb.iisd.org/vol12/enb12627e.html,Summary
SB,42,2015-06-01," Bonn, Germany",628,2015-06-01,https://enb.iisd.org/vol12/enb12628e.html,First
SB,42,2015-06-01," Bonn, Germany",629,2015-06-02,https://enb.iisd.org/vol12/enb12629e.html,Issue
SB,42,2015-06-01," Bonn, Germany",630,2015-06-03,https://enb.iisd.org/vol12/enb12630e.html,Issue
SB,42,2015-06-01," Bonn, Germany",631,2015-06-04,https://enb.iisd.org/vol12/enb12631e.html,Issue
SB,42,2015-06-01," Bonn, Germany",632,2015-06-05,https://enb.iisd.org/vol12/enb12632e.html,Issue
SB,42,2015-06-01," Bonn, Germany",633,2015-06-06,https://enb.iisd.org/vol12/enb12633e.html,Issue
SB,42,2015-06-01," Bonn, Germany",634,2015-06-08,https://enb.iisd.org/vol12/enb12634e.html,Issue
SB,42,2015-06-01," Bonn, Germany",635,2015-06-09,https://enb.iisd.org/vol12/enb12635e.html,Issue
SB,42,2015-06-01," Bonn, Germany",636,2015-06-10,https://enb.iisd.org/vol12/enb12636e.html,Issue
SB,42,2015-06-01," Bonn, Germany",637,2015-06-11,https://enb.iisd.org/vol12/enb12637e.html,Issue
SB,42,2015-06-01," Bonn, Germany",638,Summary,https://enb.iisd.org/vol12/enb12638e.html,Summary
ADP, 2-10 ,2015-08-31," Bonn, Germany",639,2015-08-31,https://enb.iisd.org/vol12/enb12639e.html,First
ADP, 2-10 ,2015-08-31," Bonn, Germany",640,2015-09-01,https://enb.iisd.org/vol12/enb12640e.html,Issue
ADP, 2-10 ,2015-08-31," Bonn, Germany",641,2015-09-02,https://enb.iisd.org/vol12/enb12641e.html,Issue
ADP, 2-10 ,2015-08-31," Bonn, Germany",642,2015-09-03,https://enb.iisd.org/vol12/enb12642e.html,Issue
ADP, 2-10 ,2015-08-31," Bonn, Germany",643,2015-09-04,https://enb.iisd.org/vol12/enb12643e.html,Issue
ADP, 2-10 ,2015-08-31," Bonn, Germany",644,Summary,https://enb.iisd.org/vol12/enb12644e.html,Summary
IPCC,42,2015-10-05," Dubrovnik, Croatia",645,Summary,https://enb.iisd.org/vol12/enb12645e.html,Summary
ADP, 2-11 ,2015-10-19," Bonn, Germany",646,2015-10-19,https://enb.iisd.org/vol12/enb12646e.html,First
ADP, 2-11 ,2015-10-19," Bonn, Germany",647,2015-10-20,https://enb.iisd.org/vol12/enb12647e.html,Issue
ADP, 2-11 ,2015-10-19," Bonn, Germany",648,2015-10-21,https://enb.iisd.org/vol12/enb12648e.html,Issue
ADP, 2-11 ,2015-10-19," Bonn, Germany",649,2015-10-22,https://enb.iisd.org/vol12/enb12649e.html,Issue
ADP, 2-11 ,2015-10-19," Bonn, Germany",650,2015-10-23,https://enb.iisd.org/vol12/enb12650e.html,Issue
ADP, 2-11 ,2015-10-19," Bonn, Germany",651,Summary,https://enb.iisd.org/vol12/enb12651e.html,Summary
COP,21,2015-11-29," Paris, France",652,2015-11-29,https://enb.iisd.org/vol12/enb12652e.html,First
COP,21,2015-11-29," Paris, France",653,2015-11-30,https://enb.iisd.org/vol12/enb12653e.html,Issue
COP,21,2015-11-29," Paris, France",654,2015-12-01,https://enb.iisd.org/vol12/enb12654e.html,Issue
COP,21,2015-11-29," Paris, France",655,2015-12-02,https://enb.iisd.org/vol12/enb12655e.html,Issue
COP,21,2015-11-29," Paris, France",656,2015-12-03,https://enb.iisd.org/vol12/enb12656e.html,Issue
COP,21,2015-11-29," Paris, France",657,2015-12-04,https://enb.iisd.org/vol12/enb12657e.html,Issue
COP,21,2015-11-29," Paris, France",658,2015-12-05,https://enb.iisd.org/vol12/enb12658e.html,Issue
COP,21,2015-11-29," Paris, France",659,2015-12-07,https://enb.iisd.org/vol12/enb12659e.html,Issue
COP,21,2015-11-29," Paris, France",660,2015-12-08,https://enb.iisd.org/vol12/enb12660e.html,Issue
COP,21,2015-11-29," Paris, France",661,2015-12-09,https://enb.iisd.org/vol12/enb12661e.html,Issue
COP,21,2015-11-29," Paris, France",662,2015-12-10,https://enb.iisd.org/vol12/enb12662e.html,Issue
COP,21,2015-11-29," Paris, France",663,Summary and Analysis,https://enb.iisd.org/vol12/enb12663e.html,Summary
IPCC,43,2016-04-11," Headquarters of the United Nations Environment Programme (UNEP), Nairobi, Kenya",664,Summary,https://enb.iisd.org/vol12/enb12664e.html,Summary
SB,44,2016-05-16," Bonn, Germany",666,2016-05-16,https://enb.iisd.org/vol12/enb12666e.html,First
SB,44,2016-05-16," Bonn, Germany",667,2016-05-17,https://enb.iisd.org/vol12/enb12667e.html,Issue
SB,44,2016-05-16," Bonn, Germany",668,2016-05-18,https://enb.iisd.org/vol12/enb12668e.html,Issue
SB,44,2016-05-16," Bonn, Germany",669,2016-05-19,https://enb.iisd.org/vol12/enb12669e.html,Issue
SB,44,2016-05-16," Bonn, Germany",670,2016-05-20,https://enb.iisd.org/vol12/enb12670e.html,Issue
SB,44,2016-05-16," Bonn, Germany",671,2016-05-21,https://enb.iisd.org/vol12/enb12671e.html,Issue
SB,44,2016-05-16," Bonn, Germany",672,2016-05-23,https://enb.iisd.org/vol12/enb12672e.html,Issue
SB,44,2016-05-16," Bonn, Germany",673,2016-05-24,https://enb.iisd.org/vol12/enb12673e.html,Issue
SB,44,2016-05-16," Bonn, Germany",674,2016-05-25,https://enb.iisd.org/vol12/enb12674e.html,Issue
SB,44,2016-05-16," Bonn, Germany",675,2016-05-26,https://enb.iisd.org/vol12/enb12675e.html,Issue
SB,44,2016-05-16," Bonn, Germany",676,Summary and Analysis,https://enb.iisd.org/vol12/enb12676e.html,Summary
IPCC,44,2016-10-17," United Nations Conference Centre (UNCC), Bangkok, Thailand",677,Summary and Analysis,https://enb.iisd.org/vol12/enb12677e.html,Summary
COP,22,2016-11-07," Marrakech, Morocco",678,2016-11-07,https://enb.iisd.org/vol12/enb12678e.html,First
COP,22,2016-11-07," Marrakech, Morocco",679,2016-11-08,https://enb.iisd.org/vol12/enb12679e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",680,2016-11-09,https://enb.iisd.org/vol12/enb12680e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",681,2016-11-10,https://enb.iisd.org/vol12/enb12681e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",682,2016-11-11,https://enb.iisd.org/vol12/enb12682e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",683,2016-11-12,https://enb.iisd.org/vol12/enb12683e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",684,2016-11-14,https://enb.iisd.org/vol12/enb12684e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",685,2016-11-15,https://enb.iisd.org/vol12/enb12685e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",686,2016-11-16,https://enb.iisd.org/vol12/enb12686e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",687,2016-11-17,https://enb.iisd.org/vol12/enb12687e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",688,2016-11-18,https://enb.iisd.org/vol12/enb12688e.html,Issue
COP,22,2016-11-07," Marrakech, Morocco",689,Summary and Analysis,https://enb.iisd.org/vol12/enb12689e.html,Summary
IPCC,45,2017-03-28," Guadalajara, Mexico",690,Summary and Analysis,https://enb.iisd.org/vol12/enb12690e.html,Summary
SB,46,2017-05-08," Bonn, Germany",691,2017-05-08,https://enb.iisd.org/vol12/enb12691e.html,First
SB,46,2017-05-08," Bonn, Germany",692,2017-05-09,https://enb.iisd.org/vol12/enb12692e.html,Issue
SB,46,2017-05-08," Bonn, Germany",693,2017-05-10,https://enb.iisd.org/vol12/enb12693e.html,Issue
SB,46,2017-05-08," Bonn, Germany",694,2017-05-11,https://enb.iisd.org/vol12/enb12694e.html,Issue
SB,46,2017-05-08," Bonn, Germany",695,2017-05-12,https://enb.iisd.org/vol12/enb12695e.html,Issue
SB,46,2017-05-08," Bonn, Germany",696,2017-05-13,https://enb.iisd.org/vol12/enb12696e.html,Issue
SB,46,2017-05-08," Bonn, Germany",697,2017-05-15,https://enb.iisd.org/vol12/enb12697e.html,Issue
SB,46,2017-05-08," Bonn, Germany",698,2017-05-16,https://enb.iisd.org/vol12/enb12698e.html,Issue
SB,46,2017-05-08," Bonn, Germany",699,2017-05-17,https://enb.iisd.org/vol12/enb12699e.html,Issue
SB,46,2017-05-08," Bonn, Germany",700,2017-05-18,https://enb.iisd.org/vol12/enb12700e.html,Issue
SB,46,2017-05-08," Bonn, Germany",701,Summary and Analysis,https://enb.iisd.org/vol12/enb12701e.html,Summary
IPCC,46,2017-09-06," Headquarters of the International Civil Aviation Organization (ICAO), Montreal, Canada",702,Summary and Analysis,https://enb.iisd.org/vol12/enb12702e.html,Summary
COP,23,2017-11-06," Bonn, Germany",703,2017-11-06,https://enb.iisd.org/vol12/enb12703e.html,First
COP,23,2017-11-06," Bonn, Germany",704,2017-11-07,https://enb.iisd.org/vol12/enb12704e.html,Issue
COP,23,2017-11-06," Bonn, Germany",705,2017-11-08,https://enb.iisd.org/vol12/enb12705e.html,Issue
