issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
251,EU,SAUDI ARABIA,0,0,0,1,0,0,0,1,"SAUDI ARABIA opposed by EU   the ,  suggested keeping this item permanently on the agenda."
251,SAUDI ARABIA,EU,0,0,0,1,0,0,0,1,"SAUDI ARABIA opposed by EU   the ,  suggested keeping this item permanently on the agenda."
